token,title,top_description_text,middle_description_text,bottom_description_text,image_count,image_url
AZO6auWd,ویلایی ۵ خواب بلوار دهخدا,"ودیعه: ۳۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۵,۰۰۰,۰۰۰ تومان",آژانس املاک برج۲۰ دکتر خردمهر در شهرک گلستان,0,
AZNaIz_F,منزل قدیمی با ۹ اتاق جهت انبار اجاره داده می شود,"ودیعه: ۱۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰,۰۰۰,۰۰۰ تومان",هفتهٔ پیش در قصرالدشت,0,
AZJyLr2a,ویلایی دربست یک طبق و نیم با سوئیت,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۱,۰۰۰,۰۰۰ تومان",آژانس املاک تخصصی املاک خانه ما در شهرک گلستان,3,https://s100.divarcdn.com/static/thumbnails/1687041603/AZJyLr2a.jpg
AZJe30m_,ویلایی دو طبقه با خوابهای بالا,"ودیعه: ۴۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۷,۰۰۰,۰۰۰ تومان",مشاور مسیح در زرهی,0,
AZIain-z,خانه ویلایی دربست خیابان خبرنگار منشعب قصرالدشت,"ودیعه: ۱,۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۲,۰۰۰,۰۰۰ تومان",آژانس املاک جوادی در قصرالدشت,0,
AZIGhsy6,منزل  ۵ خوابه جهت دفترکار,"ودیعه: ۱۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۷,۰۰۰,۰۰۰ تومان",آژانس املاک سهامی در ابیوردی,0,
AZGeL4lU,ویلایی دو طبقه شهرک گلستان,"ودیعه: ۴۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۶,۰۰۰,۰۰۰ تومان",مشاور دلام در شهرک گلستان,0,
AZESarJB,منزل.دوطبقه.پنج خوابه.واقع در شهرک صدا سیما,"ودیعه: ۳۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۵,۰۰۰,۰۰۰ تومان",۲ هفته پیش در شهرک نیروی انتظامی,0,
AZ-J-sJq,منزل ویلایی 2طبقه پاسداران,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۵,۰۰۰,۰۰۰ تومان",آژانس املاک رضازاده در زرهی,0,
AZCCLD6B,دو طبقه/ویلایی/مطهری شمالی,"ودیعه: ۲۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۵,۰۰۰,۰۰۰ تومان",۲ هفته پیش در قدوسی شرقی,1,https://s100.divarcdn.com/static/thumbnails/1686299396/AZCCLD6B.jpg
AZ6luTUZ,اجاره ویلایی دو طبقه مجزا,"ودیعه: ۱,۰۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۷,۰۰۰,۰۰۰ تومان",۳ هفته پیش در شهرک ایثار,3,https://s100.divarcdn.com/static/thumbnails/1685789399/AZ6luTUZ.jpg
AZ5prenh,اجاره منزل ۳۰۰‌متری خیابان شیشه گری مفتح,"ودیعه: ۱۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰,۰۰۰,۰۰۰ تومان",۳ هفته پیش در شیشه‌گری,0,
AZ1xZ_D5,منزل ویلایی سه بر در  کوچه همت جنوبی,"ودیعه: ۵۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۹,۵۰۰,۰۰۰ تومان",۴ هفته پیش در فرهنگ شهر,0,
AZ0p2czn,اجاره ویلایی جهت خوابگاه,"ودیعه: ۶۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۶۰,۰۰۰,۰۰۰ تومان",آژانس املاک فیوچر در زرگری,0,
